,t090C,t090C_1000,t090C_3000,t090C_10000,flag
0,30.4512,30.451960127189103,30.463153992797128,30.465088843444555,0.0
1,30.5422,30.539085078274212,30.52212534693806,30.48928432385149,0.0
2,30.6541,30.62268010220334,30.580067569637606,30.513270183404327,0.0
3,30.7065,30.6992723884635,30.63560340473063,30.53680192446421,0.0
4,30.7907,30.769440650028066,30.687931942473007,30.559693171746087,0.0
5,30.8504,30.83320319764104,30.736329263892014,30.58177362830395,0.0
6,30.9063,30.89008917845513,30.780125095088355,30.602889002352065,0.0
7,30.9735,30.938918121611422,30.818673508157843,30.622900270709742,0.0
8,31.0098,30.97637971295484,30.851238172360944,30.641675335803843,0.0
9,31.0444,30.999875830329824,30.877370195730357,30.659124693617514,0.0
10,31.0422,31.008420758727116,30.897082067267498,30.675218146544104,0.0
11,31.0252,31.00423444885963,30.911041383993137,30.690001820200088,0.0
12,31.0147,30.99048653846867,30.92029089069339,30.703571108896938,0.0
13,30.9674,30.970384080959967,30.926074287670115,30.716051820779388,0.0
14,30.9722,30.946031737906072,30.9296468232258,30.727579359508386,0.0
15,30.8721,30.921703409547035,30.932555166270316,30.738319492866086,0.0
16,30.9192,30.9027942091529,30.936425746832494,30.748444613912852,0.0
17,30.7852,30.896104092907436,30.942838713391748,30.75811732698217,0.0
18,30.8808,30.91205993866499,30.953329159248558,30.767485445553326,0.0
19,30.9039,30.948918287086478,30.967507206881827,30.77651036695125,0.0
20,30.9706,31.000217426688288,30.983829261931206,30.785036697811314,0.0
21,31.1185,31.055460228901364,30.99986369569018,30.79282080749182,0.0
22,31.1502,31.096316635177907,31.012253965544733,30.7995354479332,0.0
23,31.1577,31.116927252704947,31.019279009413,30.805007612340184,0.0
24,31.1533,31.121539723127164,31.02079442328036,30.809218902908935,0.0
25,31.1637,31.111143396295894,31.016769308937665,30.812176300756796,0.0
26,31.1582,31.080184583648215,31.006929087327016,30.81388064377281,0.0
27,30.9882,31.033611657732166,30.992608384438846,30.814491847456438,0.0
28,30.9593,30.991329139397415,30.97703209893516,30.814349581627337,0.0
29,30.9463,30.960920721534197,30.962015420435645,30.81367037891577,0.0
30,30.9215,30.937949228037073,30.947758008120136,30.812523628271652,0.0
31,30.908,30.920744279371984,30.934453796441954,30.810973788076755,0.0
32,30.9104,30.907250986332855,30.922063970274365,30.809059797312745,0.0
33,30.8904,30.894795089506758,30.910376402535736,30.80680062406398,0.0
34,30.8747,30.88374444257335,30.899457700187796,30.80423616514983,0.0
35,30.8681,30.87555900708391,30.889453542145816,30.80140945306463,0.0
36,30.8764,30.868954014845563,30.880166472474322,30.79832886420901,0.0
37,30.8631,30.86148304582771,30.871252273727457,30.794986266265067,0.0
38,30.8554,30.852735130956976,30.862612741877275,30.791393042955164,0.0
39,30.8445,30.843197897901515,30.85429914985629,30.787571932781912,0.0
40,30.8269,30.83381849635482,30.846452299744822,30.783551612762665,0.0
41,30.8227,30.82594948454595,30.83926452175776,30.77936292600835,0.0
42,30.8145,30.81987909524109,30.83279122793969,30.775021596832275,0.0
43,30.8078,30.81592672241929,30.82704672488562,30.77053657988089,0.0
44,30.8057,30.81492729361032,30.82203835479433,30.76591306688049,0.0
45,30.8169,30.816426049698368,30.817559337913693,30.761134117775097,0.0
46,30.8245,30.81810513414554,30.81314375129713,30.756157354783543,0.0
47,30.8213,30.81822034212646,30.808376048480287,30.75094392327922,0.0
48,30.8171,30.817137878654524,30.803092798593944,30.745477730770848,0.0
49,30.824,30.81489691042867,30.797126887523262,30.739743305758985,0.0
50,30.8248,30.8094484655564,30.79012987379415,30.733710599241704,0.0
51,30.8134,30.798793314683703,30.781846626377195,30.727360474771906,0.0
52,30.7846,30.78379695375906,30.772456808564264,30.7207158262411,0.0
53,30.7624,30.76776232475164,30.76250591558762,30.71383490028138,0.0
54,30.7448,30.753510590118964,30.75251255166904,30.70677473110753,0.0
55,30.7424,30.741337295306558,30.7426783413139,30.699563764778077,0.0
56,30.7234,30.730470718698413,30.733024265653427,30.692213318789868,0.0
57,30.7259,30.720321866270336,30.72354304030343,30.684731053026763,0.0
58,30.6993,30.710891223739747,30.714261869471724,30.677126585758895,0.0
59,30.709,30.70252558958711,30.705220162890768,30.669409455210925,0.0
60,30.6958,30.693842762509362,30.696257581042655,30.66157022555965,0.0
61,30.6805,30.684553731419363,30.68733496832148,30.65360947644776,0.0
62,30.6692,30.676557212395867,30.67864970863216,30.64554817062144,0.0
63,30.669,30.670500145144516,30.670235960670635,30.637391585295248,0.0
64,30.6708,30.664866395955567,30.661852149889036,30.62911923603648,0.0
65,30.6703,30.656964582082495,30.653127750907196,30.620698683730875,0.0
66,30.6474,30.645788701297555,30.64393261956552,30.612119488731224,0.0
67,30.6267,30.63369803650951,30.63457407046839,30.60341111012257,0.0
68,30.6083,30.624325964502585,30.6255124306962,30.594616692456416,0.0
69,30.6154,30.619038727197854,30.616891632568997,30.585749956409444,0.0
70,30.6201,30.615545559278253,30.608355917222784,30.576778483105315,0.0
71,30.6177,30.61087597464818,30.59941468261895,30.56765721766024,0.0
72,30.6154,30.603307494635594,30.58972862660304,30.558355437436326,0.0
73,30.5956,30.592472529317988,30.57917628331447,30.548863761954546,0.0
74,30.5753,30.58036674838077,30.56796094588309,30.53920403394609,0.0
75,30.5667,30.569167476643415,30.556328090441408,30.529403619437687,0.0
76,30.5656,30.558218974572927,30.54419705901068,30.519461976123676,0.0
77,30.552,30.545469081527138,30.531322523164704,30.50936525331284,0.0
78,30.53,30.53084377286504,30.51769229847723,30.499122386205382,0.0
79,30.5115,30.516205247111063,30.503525831945396,30.488765037972758,0.0
80,30.5094,30.501822896209035,30.48886821614985,30.478310938755584,0.0
81,30.4894,30.486127559313555,30.473557447480342,30.46776088499129,0.0
82,30.4731,30.4686556278226,30.457564613509355,30.457129478388097,0.0
83,30.4524,30.449768168637632,30.44098458136337,30.446444457488553,0.0
84,30.425,30.430475724235684,30.42400833148876,30.435744003487144,0.0
85,30.4086,30.412336960685387,30.406879879182807,30.4250723711292,0.0
86,30.3907,30.39593861175346,30.3896967104694,30.41446148041651,0.0
87,30.3822,30.380762886894864,30.372377137684385,30.40392778682483,0.0
88,30.3701,30.365359825353984,30.35469460347323,30.393475675634914,0.0
89,30.3602,30.347717662325476,30.336363040590214,30.383105860316643,0.0
90,30.3525,30.324559475984543,30.317039472535154,30.372816646994156,0.0
91,30.2926,30.295098776644416,30.296804295993777,30.36264773404491,0.0
92,30.2683,30.262928717085178,30.276378109061053,30.352699283620105,0.0
93,30.2566,30.227151968044446,30.256152386220425,30.34304377000573,0.0
94,30.1778,30.186011274218682,30.236590823733064,30.33376040216193,0.0
95,30.1022,30.1480074513355,30.219388193989538,30.325036450860512,0.0
96,30.0048,30.131698684516977,30.207174202668856,30.317135565336404,0.0
97,30.1378,30.144721045302944,30.200849291467307,30.31015310543634,0.0
98,30.1708,30.171254200118778,30.19810602203843,30.303882183985092,0.0
99,30.24,30.19414912565312,30.196105365412524,30.298058449151966,0.0
100,30.235,30.20548877514198,30.193073747600685,30.29251091902793,0.0
101,30.2246,30.204908999528225,30.188391581577157,30.287175606527367,0.0
102,30.2105,30.196386389814514,30.182274167601037,30.282069239616323,0.0
103,30.198,30.18172079837871,30.174992320891967,30.277219466845253,0.0
104,30.2091,30.15766771283022,30.16653457657692,30.272634040660424,0.0
105,30.0736,30.127357926244976,30.157836206502353,30.268409818808962,0.0
106,30.0748,30.105336743008618,30.151174210661022,30.264764751005007,0.0
107,30.0752,30.096325090005287,30.147627076813947,30.261805304699887,0.0
108,30.0803,30.095757444846335,30.14697831285099,30.259514410283412,0.0
109,30.0915,30.101086799327113,30.148979835142995,30.25786415867357,0.0
110,30.0947,30.111320343432265,30.15340085972321,30.256820928534374,0.0
111,30.1236,30.125869134230307,30.159948345513577,30.256339045728584,0.0
112,30.1457,30.142097887402812,30.16804355010328,30.256341870522636,0.0
113,30.1605,30.157574465888036,30.177121875479,30.256750184262085,0.0
114,30.1793,30.171389536037907,30.186835662660837,30.257501913769985,0.0
115,30.1854,30.183200289674307,30.196985134856828,30.258547040247066,0.0
116,30.187,30.194556165041075,30.207651625976887,30.259859947726078,0.0
117,30.2073,30.207131512610793,30.218968009333803,30.261418689755452,0.0
118,30.2085,30.22165659717971,30.230953256325137,30.263189767560135,0.0
119,30.2229,30.24035355184457,30.243717613537502,30.26514612643964,0.0
120,30.2619,30.263834809759167,30.257078615384664,30.26723262657919,0.0
121,30.2892,30.289373014370135,30.270362476686547,30.269348898830987,0.0
122,30.3274,30.313831074146083,30.282769224352,30.271383775028887,0.0
123,30.366,30.33250367044272,30.29335642739744,30.273216329344997,0.0
124,30.3736,30.340278962081186,30.301303909821204,30.2747423025917,0.0
125,30.3417,30.33813056274615,30.306712246496556,30.27594745691668,0.0
126,30.3298,30.332355092286413,30.310493973735802,30.276897519462665,0.0
127,30.3172,30.327735151484752,30.31349749502154,30.27765747793287,0.0
128,30.3006,30.327997540015815,30.316391084647858,30.278278474888868,0.0
129,30.3272,30.33528494738407,30.31948770006766,30.278780055236,0.0
130,30.347,30.346713898597287,30.322339749015338,30.279113191124388,0.0
131,30.3795,30.356677915698075,30.324059524255663,30.27919012020445,0.0
132,30.3863,30.3597017581714,30.323785463174225,30.2789285559956,0.0
133,30.3679,30.35413423523323,30.321224724596906,30.278302588002333,0.0
134,30.3514,30.34253921420514,30.31674602173887,30.277351872221733,0.0
135,30.3516,30.325426710424825,30.310687845744678,30.276119130156935,0.0
136,30.2583,30.30712981203189,30.303916298828277,30.274698525176476,0.0
137,30.2848,30.296823919236193,30.29778202075721,30.27322906160139,0.0
138,30.3081,30.29194583526729,30.29220836345246,30.27172076439973,0.0
139,30.3039,30.28314028331345,30.286267930202445,30.270106092393448,0.0
140,30.2785,30.267791303789195,30.279825856841597,30.268388688227088,0.0
141,30.2254,30.250840849761502,30.273719409276616,30.266659796107035,0.0
142,30.2174,30.239886185551132,30.269119842704068,30.26503901140826,0.0
143,30.2246,30.23684057324646,30.266469544632255,30.263576284228293,0.0
144,30.2235,30.23985412221664,30.265606809119017,30.262261563673498,0.0
145,30.2432,30.247588727355968,30.26624535734167,30.261067846246082,0.0
146,30.2652,30.256937517879997,30.267797947791813,30.259936476583427,0.0
147,30.2735,30.264238812028953,30.26959553784441,30.25879847829389,0.0
148,30.2699,30.26887943544787,30.27135531952369,30.257618201110155,0.0
149,30.269,30.272802399930157,30.273146842798564,30.25639120938112,0.0
150,30.2768,30.277414172220958,30.275018576083298,30.255110916056342,0.0
